[?1034husig.fChiSqRatio, usig.fChiSquare, usig.fChiSquareInd, usig.fChiSquareIndRestr, usig.fChiSquareIndRestr, usig.fRisetime, usig.fUnshapedInteg, trueChEnergy
-1.73238849579 0.778642723387 18.0833542183 33.1666128442 33.1666128442 8395.56650246 64.7142016847 331.155433238
-1.28278293595 0.812828862324 7.81818714822 15.5196046402 15.5196046402 5742.93300654 36.3249545392 199.76535831
-3.00063276647 1.15983227605 -1.0 -1.0 -1.0 5639.30147059 56.7864787192 1307.39428223
-3.00063276647 1.15983227605 -1.0 -1.0 -1.0 5639.30147059 58.1240328571 1307.39428223
-3.24909388136 0.655492976038 -1.0 -1.0 -1.0 5655.27065527 53.1761314294 1477.84312387
-3.24909388136 0.655492976038 -1.0 -1.0 -1.0 5655.27065527 54.4686597024 1477.84312387
-2.22620952781 0.775975566855 63.9173060699 113.842171825 113.842171825 6148.83578431 55.1377010896 0.0
-1.50047753472 1.10550228239 29.886633601 54.4240009276 54.4240009276 7566.05042017 50.6464779541 1136.50357612
-3.30695297597 0.536933071042 -1.0 -1.0 -1.0 7868.75 15.7827874902 0.0
-2.68849483225 2.01662130574 -1.0 -1.0 -1.0 7250.0 46.6410095819 241.557842053
-3.10293505062 1.27315064745 -1.0 -1.0 -1.0 5954.20751634 52.7089988626 0.0
-3.06253270203 0.952893084318 640.375010344 848.233769923 848.233769923 6180.95211161 52.6173001279 2181.82452786
-3.06253270203 0.952893084318 640.375010344 848.233769923 848.233769923 6180.95211161 55.3066523445 2181.82452786
-1.31983643763 1.99640566754 45.6175234465 93.1069383925 93.1069383925 5594.97536946 49.2800292238 431.719972129
-2.79028769166 1.40449916616 -1.0 -1.0 -1.0 32672.7941176 52.5944350927 0.0
-3.13490776438 1.29136855604 -1.0 -1.0 -1.0 10152.0833333 51.5631734233 178.921458398
-3.00109158116 1.03107071825 -1.0 -1.0 -1.0 7181.56862745 51.9552477672 505.89501
-3.12174570291 0.880616765309 -1.0 -1.0 -1.0 5776.83823529 54.3729934553 1892.26474515
-3.12174570291 0.880616765309 -1.0 -1.0 -1.0 5776.83823529 55.7322786871 1892.26474515
-3.15974499034 0.954909835433 -1.0 -1.0 -1.0 9418.1372549 54.5896557173 218.470063578
-2.80701663088 1.28856109899 -1.0 -1.0 -1.0 7032.1214597 56.6749351982 851.906876322
-1.8702381521 0.884770733777 30.2996011747 57.2602025899 57.2602025899 6501.47058824 58.5149204955 416.203147858
-2.31390470795 0.731344833858 92.2512609991 195.089897306 195.089897306 5642.46323529 57.9323656901 720.956780665
-1.79068833265 1.25219226819 58.9922198796 102.336442604 102.336442604 7454.04411765 59.0331142505 620.359155198
-1.14488841412 1.9816333129 15.4952103114 25.9529447685 25.9529447685 5035.591133 37.172378187 162.376943328
-1.99723394927 1.15771255042 39.8244353295 70.9573615151 70.9573615151 5542.2029703 53.8662314769 314.565752703
-1.51035877328 0.771890112557 8.4051720373 11.7247473405 11.7247473405 6998.03921569 27.9457355151 195.282116938
-1.51035877328 0.771890112557 8.4051720373 11.7247473405 11.7247473405 6998.03921569 62.4293997347 195.282116938
-1.89934994086 2.02911616109 80.4361121917 138.85538623 138.85538623 5813.97058824 53.1392394925 416.658310561
-3.01651008367 1.09180335774 414.892976678 799.153518788 799.153518788 6723.50217865 53.4949491304 825.753538193
-3.01651008367 1.09180335774 414.892976678 799.153518788 799.153518788 6723.50217865 56.4753815544 825.753538193
-1.86809308631 1.16451488439 46.55092467 86.9566125923 86.9566125923 6145.58823529 58.860837061 694.375278261
-1.95720340044 4.00374751822 -1.0 -1.0 -1.0 7335.0990099 64.2372945781 823.725143119
-1.9407182196 0.990543848627 42.1070122224 88.0242156057 88.0242156057 10742.1568627 54.9642614774 230.033691109
-1.9407182196 0.990543848627 42.1070122224 88.0242156057 88.0242156057 10742.1568627 60.494135499 230.033691109
-2.80746399862 0.835357133263 179.435798713 337.270048371 337.270048371 5618.68315508 54.2231657858 967.468395898
-2.80746399862 0.835357133263 179.435798713 337.270048371 337.270048371 5618.68315508 55.7589056885 967.468395898
-3.21275376535 1.00836704296 -1.0 -1.0 -1.0 5376.78571429 53.7411795235 276.025683232
-2.79722686538 1.29808081694 -1.0 -1.0 -1.0 3471.875 38.8748288847 62.513738159
-2.1333930494 1.30878092926 47.1467206428 91.400927827 91.400927827 6225.28735632 53.9223490852 404.645025049
-1.26566776041 0.878385700517 5.80408552206 11.5759711843 11.5759711843 8217.64705882 59.7447709712 156.75769377
-1.54662627792 1.38133152045 25.6846639994 51.8599673451 51.8599673451 5816.37254902 57.9166407027 235.832294144
-3.04204934289 1.10070862648 -1.0 -1.0 -1.0 5541.96521869 53.4819876142 760.949947511
-3.04905811934 1.00134817027 -1.0 -1.0 -1.0 15294.08867 57.6930899035 174.017025972
-2.9366688159 1.06134224666 -1.0 -1.0 -1.0 6085.29411765 60.3566265023 770.31784094
-3.00577087609 1.24412163789 -1.0 -1.0 -1.0 5859.52970297 51.0468348742 471.80169772
-2.91531884727 1.7622935844 -1.0 -1.0 -1.0 5076.40931373 59.2238899284 202.354149069
-1.55567254131 0.985571688187 18.8578829899 32.068814038 32.068814038 8101.48514851 61.7736715025 232.476058816
-0.52702818516 1.23484053568 4.65521193932 4.90283038866 4.90283038866 7013.11881188 24.1199564555 104.722825578
-3.33510246305 0.591875149593 -1.0 -1.0 -1.0 7107.18954248 36.4986839124 71.3715152956
-2.92517488278 1.47456062489 -1.0 -1.0 -1.0 6084.56486043 63.7540715019 341.208255631
-3.07259453798 1.23198963014 -1.0 -1.0 -1.0 3620.39057002 54.5666854524 227.908898599
-3.00334916917 1.31596504516 -1.0 -1.0 -1.0 5278.99159664 56.4843771768 538.104822302
-2.02864246294 0.407277820739 25.2724189609 43.7459393335 43.7459393335 5092.10434174 51.8672375057 208.457972153
-1.326280952 1.46725829635 16.8294528678 26.3033711465 26.3033711465 5673.28431373 53.1835056676 374.042117844
