[?1034husig.fChiSqRatio, usig.fChiSquare, usig.fChiSquareInd, usig.fChiSquareIndRestr, usig.fChiSquareIndRestr, usig.fRisetime, usig.fUnshapedInteg, trueChEnergy
-1.85131279836 1.7011893322 79.3896905451 157.633418453 157.633418453 11330.8298319 59.0904308878 192.432652093
-1.85131279836 1.7011893322 79.3896905451 157.633418453 157.633418453 11330.8298319 65.1682110667 192.432652093
-3.12606457569 0.915970960573 508.195187586 962.674449466 962.674449466 6582.83496732 57.091563637 1926.41777586
-3.12606457569 0.915970960573 508.195187586 962.674449466 962.674449466 6582.83496732 61.4081580231 1926.41777586
-3.01759852976 0.922431551231 -1.0 -1.0 -1.0 4984.92647059 50.8588981051 197.270860872
-3.31957517285 1.1422220146 -1.0 -1.0 -1.0 5659.31372549 56.8237224863 132.950760096
-2.82431094425 1.34575657022 -1.0 -1.0 -1.0 8189.68837535 54.2992933173 510.769999959
-2.82492830094 1.33945968554 -1.0 -1.0 -1.0 6121.57635468 56.0946418184 720.927625989
-3.21564307136 0.566138588222 -1.0 -1.0 -1.0 6880.95238095 55.5046779386 532.813129311
-2.50257129428 1.70536681835 -1.0 -1.0 -1.0 6162.27375566 54.5739474067 2613.58999999
-2.69379444676 1.27504580828 238.071443664 487.968605538 487.968605538 6367.64705882 57.2527049606 832.280154258
-2.69379444676 1.27504580828 238.071443664 487.968605538 487.968605538 6367.64705882 58.7554305264 832.280154258
-2.10474700365 1.53181210512 58.3399484628 112.397003848 112.397003848 7128.82352941 51.3789077021 561.323632573
-1.05158510992 1.05624678653 6.54988521766 12.4926447954 12.4926447954 6568.78109453 40.9002120592 0.0
-3.46247177879 0.876804930762 -1.0 -1.0 -1.0 9755.58823529 47.1760609984 449.570797069
-3.46247177879 0.876804930762 -1.0 -1.0 -1.0 9755.58823529 57.3254457301 449.570797069
-2.96125196778 1.12061469118 -1.0 -1.0 -1.0 6237.47276688 55.1505019024 802.909810039
-2.96125196778 1.12061469118 -1.0 -1.0 -1.0 6237.47276688 56.2600470715 802.909810039
-3.06508215096 1.06172659667 -1.0 -1.0 -1.0 8504.59558824 60.0362431786 361.56843717
-2.92195204384 1.09155756394 -1.0 -1.0 -1.0 11861.5196078 73.0495441345 125.56485994
-3.03359589282 0.74348910164 -1.0 -1.0 -1.0 5055.96730855 51.7235837157 1809.50553818
-2.11757876694 1.41613796674 58.2645186766 113.318202444 113.318202444 7545.75163399 57.0338502145 403.56280659
-1.04803737703 1.15636931671 9.10893210396 17.8293695226 17.8293695226 15936.453202 69.1343410236 179.342193404
-0.523999587646 0.932879591219 2.72503627047 3.45867716819 3.45867716819 11972.9166667 59.2040869928 67.4823269659
-1.67921857319 0.715775813348 11.0147692105 19.0894066641 19.0894066641 9881.04575163 53.373031518 288.725146817
-1.67772111552 0.791175534948 11.5459435272 22.0640073736 22.0640073736 6873.52941176 56.4411809349 225.581469194
-1.97001015387 0.853360305125 50.3668301692 89.2449995383 89.2449995383 5009.83455882 51.6084018335 416.390949765
-3.00930519904 1.063273584 -1.0 -1.0 -1.0 5535.76797386 55.266137204 1557.83426214
-3.00930519904 1.063273584 -1.0 -1.0 -1.0 5535.76797386 56.615614523 1557.83426214
-2.84532406847 1.81399006631 -1.0 -1.0 -1.0 5910.29411765 60.5983885704 252.126498204
-2.49030585153 2.2708087074 458.381018119 836.816405505 836.816405505 6010.42250233 50.7524626916 1029.0864025
-2.49030585153 2.2708087074 458.381018119 836.816405505 836.816405505 6010.42250233 50.7524626916 1029.0864025
-2.97034706191 0.993389903488 756.020728549 1439.21534705 1439.21534705 6323.29963235 55.8659602363 1580.59075754
-2.71895032675 1.41211585941 -1.0 -1.0 -1.0 4889.33823529 51.430428889 510.99891
-2.80637558391 1.02753492262 -1.0 -1.0 -1.0 5696.23762376 48.5696747069 362.72117871
-2.902536418 1.04862780028 659.227692174 1204.90373482 1204.90373482 6129.1503268 55.1367774546 1500.08333851
-2.902536418 1.04862780028 659.227692174 1204.90373482 1204.90373482 6129.1503268 56.4222901491 1500.08333851
-2.26598960989 1.84009411859 203.921310694 371.536873952 371.536873952 8258.78267974 53.2931453576 622.539321847
-2.26598960989 1.84009411859 203.921310694 371.536873952 371.536873952 8258.78267974 60.8457088618 622.539321847
-2.26598960989 1.84009411859 203.921310694 371.536873952 371.536873952 8258.78267974 60.8457088618 622.539321847
-3.14125842073 0.753124921156 -1.0 -1.0 -1.0 3897.05882353 56.0772909629 179.113925685
-3.03513621511 1.39846198574 -1.0 -1.0 -1.0 10906.25 45.8239338092 0.0
-3.03572752372 1.1014217834 -1.0 -1.0 -1.0 7210.41666667 13.9438199466 106.428506275
-3.1055788884 1.03926581985 -1.0 -1.0 -1.0 5768.75 52.1187158062 224.121109036
-3.07297866272 1.00248384797 -1.0 -1.0 -1.0 5109.80392157 47.3231862103 182.948931366
-1.92151915318 1.113055701 57.2247698261 117.562639488 117.562639488 8957.72058824 55.788949698 423.800762558
-1.4345595451 1.23992820024 12.9913457224 26.0115403698 26.0115403698 8005.88235294 53.3043989773 189.841351733
-2.7315222803 0.960903061566 -1.0 -1.0 -1.0 5910.15795207 53.1910097826 1977.37392571
-2.84184459837 1.56452971833 -1.0 -1.0 -1.0 5880.45977011 52.520473585 248.639525171
-3.50100152215 0.469801799452 -1.0 -1.0 -1.0 21729.4992997 47.1543958173 1719.80117027
-3.50100152215 0.469801799452 -1.0 -1.0 -1.0 21729.4992997 78.1231478076 1719.80117027
-3.50100152215 0.469801799452 -1.0 -1.0 -1.0 21729.4992997 80.8981219227 1719.80117027
-3.50100152215 0.469801799452 -1.0 -1.0 -1.0 21729.4992997 93.778352244 1719.80117027
-2.8096102889 1.31635581932 -1.0 -1.0 -1.0 11053.9215686 52.3892228106 33.5665
-2.64144893248 1.46985737592 -1.0 -1.0 -1.0 6094.15849673 73.7143908229 423.52938047
-3.0574715245 1.30908148821 -1.0 -1.0 -1.0 6153.82352941 53.3424745626 403.553539876
-2.43275247616 1.09834202847 219.940063067 410.775204536 410.775204536 6028.26797386 57.0081688507 83.4659660662
-3.23199130489 0.772626914683 509.013996907 995.812753284 995.812753284 5690.42366947 54.3174788627 1378.91372413
-3.23199130489 0.772626914683 509.013996907 995.812753284 995.812753284 5690.42366947 55.6100135922 1378.91372413
-2.98049522064 0.953703304076 -1.0 -1.0 -1.0 5715.51724138 43.7839541021 224.030677708
-2.98678404434 1.86953027049 -1.0 -1.0 -1.0 7399.75369458 46.9663507257 120.833999225
-2.87298323211 1.15503856209 -1.0 -1.0 -1.0 5980.14705882 20.454268268 101.982783823
-2.89129999675 0.890430941429 -1.0 -1.0 -1.0 6274.89686469 51.0456757496 175.938731301
-3.40567326698 0.494232860137 -1.0 -1.0 -1.0 9474.69362745 52.8505945644 272.365584699
-3.33028052086 0.569905313803 -1.0 -1.0 -1.0 5841.78921569 54.4311642857 1788.7002788
-3.33028052086 0.569905313803 -1.0 -1.0 -1.0 5841.78921569 55.8686364982 1788.7002788
-2.91214096106 1.44652101566 -1.0 -1.0 -1.0 3358.52941176 51.0987022277 94.061133591
-2.81319626214 1.16179152063 -1.0 -1.0 -1.0 5323.1372549 50.4630730099 448.159192957
