[?1034h
usig.fChiSqRatio, usig.fChiSquare, usig.fChiSquareInd, usig.fChiSquareIndRestr, usig.fChiSquareIndRestr, usig.fRisetime, usig.fUnshapedInteg, trueChEnergy
-2.62018819973 0.904726824697 442.497694787 500.29071532 500.29071532 5161.17268163 55.8909186893 2613.84309001 2032.47558702
-3.42760232917 0.846593867623 -1.0 -1.0 -1.0 12375.0 31.5545671649 59.6369984492 55.8266734492
-2.24196386978 1.52468813874 228.207345296 403.166366442 403.166366442 5490.89269317 53.3762352518 704.784319099 640.377159441
-1.58963223909 2.22116089148 134.70010171 205.425308689 205.425308689 6574.64349376 50.9429598464 687.621034475 536.933457857
-2.59903601519 1.18715843558 239.489685503 466.37134568 466.37134568 5004.60401667 54.982413836 927.252665552 429.790122666
-2.59903601519 1.18715843558 239.489685503 466.37134568 466.37134568 5004.60401667 54.982413836 927.252665552 412.286304118
-1.33015830323 1.14001650693 11.3862875974 24.5581546279 24.5581546279 4161.6091954 63.5693052767 190.608149709 180.146083493
-2.15325211922 1.18697236154 86.9697309801 156.341997585 156.341997585 6243.11683007 45.6486405485 494.268710887 32.8407436249
-2.15325211922 1.18697236154 86.9697309801 156.341997585 156.341997585 6243.11683007 62.9883893954 494.268710887 444.168084292
-1.09673830087 1.22364667025 12.3094704918 20.6706600818 20.6706600818 9991.13036304 69.8638064197 220.338658309 173.90749922
-0.540941509027 3.76748007141 17.7608961369 31.1162364316 31.1162364316 15448.0021894 50.2161044662 278.012446306 169.677843691
-0.540941509027 3.76748007141 17.7608961369 31.1162364316 31.1162364316 15448.0021894 56.6824100898 278.012446306 63.8218318651
-2.45204221335 1.20631752077 373.788828507 610.536049234 610.536049234 4999.6969697 56.2057014637 1612.29494451 639.007026922
-2.45204221335 1.20631752077 373.788828507 610.536049234 610.536049234 4999.6969697 57.492438391 1612.29494451 608.962680905
-2.20512211528 0.958659329582 87.7531283788 174.623910411 174.623910411 5530.09803922 56.4945273633 679.428316275 606.904672665
-3.01820249119 1.19059772572 -1.0 -1.0 -1.0 5914.70588235 36.5768245509 105.271991971 84.9533205223
-1.50656751882 1.24061834466 14.6510323032 30.6899107181 30.6899107181 4646.55172414 65.9617984389 258.162478604 195.485294195
-2.07125373167 0.65763038455 37.4455214436 79.0133007685 79.0133007685 5218.04534314 55.728220908 569.014695995 415.823523297
-1.06188106637 1.19822688429 8.24050439528 12.0432398159 12.0432398159 7594.28104575 47.6843689521 194.023156906 138.517651664
-2.52137951734 0.92669997604 242.595401628 449.507723617 449.507723617 5232.0874183 61.7726107779 855.147099993 646.983736235
-2.52137951734 0.92669997604 242.595401628 449.507723617 449.507723617 5232.0874183 68.179813134 855.147099993 115.866005417
-2.07442283745 1.1966411974 48.5884262545 85.4150634276 85.4150634276 5564.60084034 50.1244337623 505.748972271 462.725141569
-3.03644759429 1.64082672182 -1.0 -1.0 -1.0 7265.31862745 30.04254597 77.3690277522 59.7022342282
-2.27530490391 1.06978392181 145.329913407 281.722025852 281.722025852 5941.12684729 55.2450443425 743.331367423 667.217382145
-1.72686381195 0.839536760825 30.0271007585 50.6992761061 50.6992761061 6838.27586207 53.6439847453 299.950811738 256.084109862
-1.29931216888 1.34076143032 16.6528430208 30.1061184191 30.1061184191 8184.43627451 55.0679554042 218.202620052 165.723224757
-1.99845790068 0.793202149386 42.9277407656 73.4480757121 73.4480757121 4786.11111111 59.1079280196 363.574712665 262.779604932
-1.58748596899 1.14747465058 16.4390985187 32.6203717798 32.6203717798 5912.5 55.1552263553 258.469350017 235.442941864
-2.12823695967 1.16675950452 100.283308408 181.927846519 181.927846519 6102.45098039 60.5030689499 583.209999996 456.095682377
-2.9170083361 1.44165929248 664.838871882 1203.87031051 1203.87031051 5300.5390314 54.9799347812 1552.48857047 292.017867544
-2.9170083361 1.44165929248 664.838871882 1203.87031051 1203.87031051 5300.5390314 57.9493123455 1552.48857047 956.14080767
-1.06536399101 0.816842857941 7.04045199442 10.4313728973 10.4313728973 5274.01960784 55.8759643377 201.211472827 140.097459811
-2.32325385614 0.99782932448 307.236931674 432.98198416 432.98198416 5592.4328555 56.8878660981 1546.74951039 1205.89327964
-2.35082832112 1.01030343327 169.227779362 289.866671088 289.866671088 5486.35057471 57.1515677948 770.572029188 582.624517793
-3.28283956693 1.73644534 1323.94784298 2472.34222166 2472.34222166 6034.38180828 49.6444787402 1838.47707083 108.244221287
-3.28283956693 1.73644534 1323.94784298 2472.34222166 2472.34222166 6034.38180828 57.3140948626 1838.47707083 1322.7273299
-1.98397818319 0.633558854479 39.5565459439 72.9093713209 72.9093713209 5654.51680672 50.7639081686 349.985403153 316.899162142
-1.7485082305 1.15545431231 20.2203453278 39.0849676752 39.0849676752 5898.03921569 56.6988751563 255.776342356 229.766195399
-2.89675402372 1.08852262626 370.777326953 710.752748398 710.752748398 4833.63970588 58.2610768756 1355.65094738 565.252510591
-2.89675402372 1.08852262626 370.777326953 710.752748398 710.752748398 4833.63970588 59.5742299194 1355.65094738 522.149859505
-2.55627662778 1.16771226451 217.777640076 414.821724216 414.821724216 5086.0591133 56.932489715 1182.96548599 947.242295622
-2.8997000398 1.31070213759 491.001038987 958.203264887 958.203264887 5379.75778547 56.4452753543 1466.40259095 1142.12898874
-2.22048592352 0.811212574178 91.3135731202 176.822883962 176.822883962 5270.04357298 58.7707612635 776.077254472 699.190127756
-1.99826435676 1.52724334957 127.725320014 238.820634927 238.820634927 6920.13888889 53.9596285682 774.579786545 185.990811264
-1.99826435676 1.52724334957 127.725320014 238.820634927 238.820634927 6920.13888889 58.208908907 774.579786545 402.720212983
-2.5031605721 0.900399743467 197.158830041 372.014598463 372.014598463 4701.42602496 56.098281972 1063.723769 434.228669327
-2.5031605721 0.900399743467 197.158830041 372.014598463 372.014598463 4701.42602496 57.5155893023 1063.723769 402.013008507
-2.2801653294 1.6581718003 200.645925546 385.55669752 385.55669752 5321.76980198 58.0553517786 780.196259992 570.014589741
-2.14910963085 1.11604308063 95.4943237372 172.49846348 172.49846348 4828.81740196 56.1104867187 505.995299988 387.744724448
-3.22792012016 0.779646960529 636.382448781 1191.9582223 1191.9582223 4858.72171946 55.5953025944 1640.36761079 721.627120949
-3.22792012016 0.779646960529 636.382448781 1191.9582223 1191.9582223 4858.72171946 55.5953025944 1640.36761079 694.734015713
-2.25197976283 0.885205266222 64.5243060237 117.123907542 117.123907542 5408.56595512 53.242901257 476.682086555 487.832479312
-1.96688840845 1.29575993481 112.554606893 177.839571449 177.839571449 5690.11437909 64.2063441506 868.454038301 525.263363095
-1.96688840845 1.29575993481 112.554606893 177.839571449 177.839571449 5690.11437909 92.4377674463 868.454038301 307.675146935
-1.13380169376 1.24113370119 11.8305255776 20.7071123556 20.7071123556 6075.8496732 63.7535134731 239.717272344 234.170063855
-1.55541012954 1.21673878651 24.2667314825 52.2221430517 52.2221430517 5558.16993464 63.0383144422 310.206024355 245.862453765
-3.55551657638 0.582915032231 -1.0 -1.0 -1.0 5564.10891089 49.6352650213 80.2806120634 67.9924750716
-2.14218189455 1.12518288799 105.708562197 205.508281394 205.508281394 5925.83333333 53.5851902206 583.043019997 429.730166453
-2.13227268551 0.965164865486 67.692673975 131.500437027 131.500437027 5859.22794118 56.2493221279 476.417817757 436.772496351
-1.39195331039 1.48612477128 15.6377270971 24.798747801 24.798747801 5455.79481793 53.7249351022 250.699182237 223.800926033
-2.47185315611 2.46058724658 1140.26458972 1734.38059679 1734.38059679 5168.18789987 56.4498653597 2213.44421585 1967.98272164
-2.60332797828 1.1978064599 429.688688713 609.404686507 609.404686507 5035.15989729 56.3544273765 1908.31729046 1451.72851293
-2.53576796546 0.650521035395 73.6014216608 152.499255007 152.499255007 4802.5245098 54.27043044 420.73354739 369.817295975
-1.9665038157 0.929574588069 52.1408532228 104.034169037 104.034169037 8289.16256158 53.5665291975 466.125704084 430.09989576
-2.04019976857 1.06092040752 53.9097070062 110.205580028 110.205580028 5095.6127451 51.1794663797 510.99891 449.833978871
-2.17201111071 1.15079844779 122.508505148 222.462905633 222.462905633 5917.81045752 52.7225513142 624.56095831 474.323000915
-3.08486329062 1.26427329217 831.847677181 1576.66984668 1576.66984668 5088.49060458 56.8454697812 1790.26107693 716.124499107
-3.08486329062 1.26427329217 831.847677181 1576.66984668 1576.66984668 5088.49060458 58.2195535849 1790.26107693 662.147056102
1.10882352504 5.09702930908 1.06957648084 1.00910569186 1.00910569186 6580.9129902 18.2008414438 0.0 64.5823907618
-2.19141180504 0.770458998604 71.5858177162 138.865258108 138.865258108 10761.9607843 63.1272235827 822.257343116 420.203653805
-2.19141180504 0.770458998604 71.5858177162 138.865258108 138.865258108 10761.9607843 74.8411309539 822.257343116 228.725894742
-2.5478850591 1.30387434027 245.46874684 455.041771539 455.041771539 5152.96345811 54.4105450727 1012.39917798 900.639673197
-2.66595426586 1.24926260478 349.885013848 661.89173434 661.89173434 5205.55450813 54.9390499792 1445.41153646 596.814389432
-2.66595426586 1.24926260478 349.885013848 661.89173434 661.89173434 5205.55450813 57.6432420273 1445.41153646 566.7902273
-0.542548550918 1.1494363241 2.77365596097 5.35819658833 5.35819658833 3445.83333333 62.9638852063 150.733785565 95.5105513703
-2.69637251172 0.895907754722 262.373435101 495.968426554 495.968426554 5338.48469212 53.3033690832 1616.09897385 666.441435061
-2.69637251172 0.895907754722 262.373435101 495.968426554 495.968426554 5338.48469212 54.5412122142 1616.09897385 605.719681275
-1.2981411772 0.649126053457 5.1757108247 9.81334094041 9.81334094041 4683.57843137 48.5992643631 180.567494917 144.526205665
-1.86139350832 1.05154687855 52.4446870982 108.865617487 108.865617487 9223.03921569 59.2339917087 478.415713165 420.211312049
1.11273481056 6.41548719269 1.08854208849 1.42351070879 1.42351070879 8108.7622549 14.0143787642 0.0 50.5603323815
-2.62690557458 1.42662245261 659.07241659 1161.26611527 1161.26611527 5314.63235294 56.9812067976 1592.53618004 1197.49544818
