[?1034h
usig.fChiSqRatio, usig.fChiSquare, usig.fChiSquareInd, usig.fChiSquareIndRestr, usig.fChiSquareIndRestr, usig.fRisetime, usig.fUnshapedInteg, trueChEnergy
-2.16793867834 0.410791269099 29.9402014853 65.8064735683 65.8064735683 4578.98284314 53.2167268724 366.359342 309.780812432
-2.83833713871 1.47365290356 -1.0 -1.0 -1.0 4772.67156863 39.4035577551 134.294471962 102.65218785
-2.84781740578 1.69849825077 1453.83683573 2765.8053307 2765.8053307 5332.9370915 56.8696192973 1987.33407953 1961.87870965
-3.17306079125 1.17392720426 -1.0 -1.0 -1.0 16277.5862069 57.8594851738 66.8866837999 72.3482274491
-3.61596865633 0.701376573065 -1.0 -1.0 -1.0 8745.83333333 44.8677840851 82.2174002458 61.500797024
-1.65439048831 2.27199520232 47.732139433 98.1772846436 98.1772846436 4774.97536946 62.2581722004 231.316977297 188.498932171
-1.71215986279 2.56045795506 23.234113112 52.0218845334 52.0218845334 4025.10608204 47.1132148721 214.736254179 150.068271778
-1.88538032613 0.76200113244 25.6743162808 51.212607673 51.212607673 5741.17647059 55.3495819129 358.81939127 345.929091089
-1.40471901598 0.963662290746 12.4059382589 22.3019253404 22.3019253404 6044.11764706 58.9710828589 219.596908727 191.473450779
-2.33014036709 2.63501192437 951.148606656 1334.07006638 1334.07006638 5602.33910891 55.8526757028 1875.63078744 1728.68197557
-2.32163256312 0.59750799478 56.4987400179 106.292155011 106.292155011 4811.45833333 60.6725139378 434.588994115 352.075653878
-3.2636422567 0.971503807569 -1.0 -1.0 -1.0 6433.33333333 45.7343928312 0.0 42.6786873637
-2.51688046395 1.3338219841 430.421982806 824.445046413 824.445046413 5590.32817673 57.4001472031 1832.6946694 1430.85675155
-2.4617797722 0.88325964384 130.872673493 250.918002539 250.918002539 4474.29627023 57.6560408019 777.025720595 592.803539509
-1.42296277543 0.796327350797 11.5478937536 19.3265363782 19.3265363782 4022.22222222 48.0839581456 252.165670384 186.777880297
-0.527073523143 1.20337736723 3.67207440792 4.59282788336 4.59282788336 6134.60784314 68.2108830636 129.313439856 83.9567348247
-3.10607207819 1.32645507802 -1.0 -1.0 -1.0 6482.10784314 27.4259983831 0.0 48.2621128514
-1.86644366124 0.91556094334 42.4566987603 89.8200640484 89.8200640484 8464.46078431 62.9531863552 446.486286683 162.523572649
-1.86644366124 0.91556094334 42.4566987603 89.8200640484 89.8200640484 8464.46078431 67.5660376767 446.486286683 165.466984937
-1.7132960452 0.994264775443 36.4828269742 65.4401906722 65.4401906722 5796.56862745 51.5960293715 385.098216491 353.831583126
-1.69878803692 0.968683036382 34.6600633493 64.2246457242 64.2246457242 6959.25245098 56.0471415777 296.428182058 259.387999357
-1.00741147307 1.05173595631 7.26498612194 15.9209216101 15.9209216101 6233.57843137 60.0538206839 149.043908317 123.951364855
-0.963470834397 1.36092140084 5.538373361 8.99764887346 8.99764887346 6597.02970297 70.8402166161 151.269329134 128.462721129
-2.37379200848 0.818697010344 168.200769133 323.075647344 323.075647344 4535.45751634 58.4388334054 753.600977243 669.551256446
-1.52509651433 0.586502826865 14.9905472138 27.9949389849 27.9949389849 5309.95098039 45.4334138344 270.009623246 214.657095233
-2.97282416997 0.987995285883 1004.30395236 1251.94618215 1251.94618215 5438.34482759 54.7488846962 2609.11710004 398.531036551
-2.97282416997 0.987995285883 1004.30395236 1251.94618215 1251.94618215 5438.34482759 57.433469433 2609.11710004 1539.78251099
-0.986043496549 3.40714897713 47.6035774814 82.4444989538 82.4444989538 11084.4117647 71.2194796553 470.564449824 312.99195179
-2.16898128831 1.29759663853 132.161956729 251.420372476 251.420372476 5818.09640523 60.6010061134 582.957299965 461.014090165
-2.6857051001 1.01359117277 242.201226181 484.23037242 484.23037242 12594.1807784 67.7232236708 1022.91661593 652.984244503
-2.6857051001 1.01359117277 242.201226181 484.23037242 484.23037242 12594.1807784 83.357298744 1022.91661593 305.292352519
-2.52454106165 1.0165770353 232.373010559 473.715855407 473.715855407 5258.33333333 56.2623637908 943.024759945 835.563961874
-2.34436170424 1.1974022523 76.7451718026 140.989200062 140.989200062 5368.05555556 54.8718971051 606.588268936 477.028719372
-0.942617190518 1.6890477654 12.9230750629 18.5236908483 18.5236908483 5587.52052545 40.0913346193 175.126413335 146.825255953
-2.54320620373 0.782376303593 72.4289420385 141.229534525 141.229534525 4861.09477124 54.7310147953 407.916606662 369.205114707
-1.1419269626 0.978773224085 7.65707126212 15.0382304041 15.0382304041 7142.08683473 65.9287975826 267.566383679 207.953014855
-1.79937175762 0.409814018822 14.1041866912 27.7252804122 27.7252804122 6030.06827731 47.9985573883 304.63790973 273.73969656
